The Postal Service	Such Great Heights	3992
Boy Division	Love Will Tear Us Apart	3663
Radiohead	Karma Police	3534
Muse	Supermassive Black Hole	3483
Death Cab For Cutie	Soul Meets Body	3479
The Knife	Heartbeats	3156
Muse	Starlight	3060
Arcade Fire	Rebellion (Lies)	3048
Britney Spears	Gimme More	3004
The Killers	When You Were Young	2998
Interpol	Evil	2989
Kanye West	Love Lockdown	2950
Massive Attack	Teardrop	2948
Death Cab For Cutie	I Will Follow You Into The Dark	2947
Muse	Time Is Running Out	2945
Bloc Party	Banquet	2906
Arcade Fire	Neighborhood #1 (Tunnels)	2826
Radiohead	All I Need	2696
The Postal Service	Nothing Better	2670
Snow Patrol	Chasing Cars	2667
Radiohead	Creep	2651
Radiohead	15 Step	2647
Kanye West	Heartless	2644
Radiohead	Nude	2639
Britney Spears	Womanizer	2635
Gnarls Barkley	Crazy	2603
Radiohead	Reckoner	2588
Mgmt	Time To Pretend	2584
Radiohead	Paranoid Android	2568
Coldplay	The Scientist	2563
Arctic Monkeys	I Bet You Look Good On The Dancefloor	2557
Oasis	Wonderwall	2519
Radiohead	Fake Plastic Trees	2490
Joy Division	She'S Lost Control	2447
Arcade Fire	Neighborhood #3 (Power Out)	2444
Radiohead	Jigsaw Falling Into Place	2420
Coldplay	Viva La Vida	2387
The Killers	All These Things That I'Ve Done	2385
Kanye West	Welcome To Heartbreak (Feat. Kid Cudi)	2376
Depeche Mode	Enjoy The Silence	2369
The Postal Service	The District Sleeps Alone Tonight	2365
Franz Ferdinand	Take Me Out	2355
Kanye West	Amazing (Feat. Young Jeezy)	2354
Interpol	Slow Hands	2344
José González	Heartbeats	2333
Mgmt	Kids	2333
The Killers	Somebody Told Me	2318
Pink Floyd	Wish You Were Here	2314
Interpol	Obstacle 1	2313
Yeah Yeah Yeahs	Maps	2311
Radiohead	Bodysnatchers	2294
The Shins	New Slang	2281
Muse	Knights Of Cydonia	2280
Muse	Map Of The Problematique	2276
Radiohead	Everything In Its Right Place	2275
Muse	Hysteria	2264
Kanye West	Paranoid (Feat. Mr. Hudson)	2261
The Shins	Caring Is Creepy	2247
Coldplay	Clocks	2246
Radiohead	House Of Cards	2243
M.I.A.	Paper Planes	2240
Imogen Heap	Hide And Seek	2239
Coldplay	Don'T Panic	2232
Kanye West	Say You Will	2229
Nirvana	Smells Like Teen Spirit	2229
Radiohead	No Surprises	2227
Klaxons	Golden Skans	2226
Bloc Party	Blue Light	2216
Coldplay	Fix You	2215
Jeff Buckley	Hallelujah	2210
Tv On The Radio	Staring At The Sun	2209
Kanye West	Coldest Winter	2201
Arcade Fire	No Cars Go	2195
The Killers	Smile Like You Mean It	2182
Modest Mouse	Float On	2178
Amy Winehouse	Rehab	2167
Kanye West	Bad News	2163
Coldplay	Yellow	2158
Mgmt	Electric Feel	2155
Regina Spektor	Fidelity	2119
Death Cab For Cutie	Summer Skin	2115
Johnny Cash	Hurt	2114
Arcade Fire	Une Année Sans Lumière	2111
Arcade Fire	Wake Up	2108
Kanye West	Pinocchio Story (Freestyle Live From Singapore)	2107
Kanye West	Robocop	2106
Kanye West	See You In My Nightmares	2092
Red Hot Chili Peppers	Scar Tissue	2091
Radiohead	Weird Fishes/Arpeggi	2089
The Postal Service	Clark Gable	2088
Radiohead	Exit Music (For A Film)	2088
Nelly Furtado	Say It Right	2080
The Postal Service	Brand New Colony	2076
Massive Attack	Angel	2071
Britney Spears	Piece Of Me	2071
The Fray	How To Save A Life	2064
Dread Zeppelin	Stairway To Heaven	2062
Radiohead	Videotape	2061
Kanye West	Street Lights	2051
Snow Patrol	Run	2048
